1	0	54044	4.5	53481	4	53526	4	53526	3.5	53635	3	53792																															
1	1	54044	1.375	53481	1.5	53635	1.5	53635	1.375	53928	1.25	54026																															
1	0	54044	1.75	53481	1.625	53792	1.625	53792	1.75	53936																																	
1	0	54044	14	53481	20	53635	20	53635	16	53868	20	54026																															
1	0	54044	20	53481	25	53635	25	53635																																			
1	0	54044	33	53481	50	53635	50	53635	66	53929																																	
1	0	54044	20	53481	25	53635	25	53635	33	53792	50	54045																															
2	1	55854	6	55709	7	56157	7	56157																																			
2	0	55854	6	55138	6.5	55397	6.5	55397	7	55825	7	56157																															
2	0	55854	8	55138	9	55288	9	55288	9	56157																																	
2	0	55854	2.75	55138	3	55543	3	55543	2.75	55709	2.5	55839	2.5	56157																													
2	0	55854	5	55138	4.5	55288	4.5	55288	4	55397	3.5	55709	3.5	56157																													
2	0	55854	4	55138	4	56157	4	56157																																			
2	0	55854	20	55138	25	55288	25	55288	25	56157																																	
2	0	55854	33	55138	40	55288	40	55288	40	56157																																	
2	0	55854	7	55138	8	55474	8	55474	9	56157																																	
3	0	57673	50	57141	66	57330	66	57330																																			
3	0	57673	33	57141	50	57329	50	57329	33	57494	25	57555	20	57598	16	57606	14	57647																									
3	0	57673	50	57141	66	58105																																					
3	0	57673	33	57141	50	57329	50	57329																																			
3	0	57673	50	57141	33	57598	33	57598																																			
3	0	57673	50	57141	50	58105																																					
3	0	57673	1	57141	0.909090909	57329	0.909090909	57329	1	57375	1.1	57544	1.25	57620																													
3	0	57673	14	57141	20	57329	20	57329																																			
3	0	57673	40	57141	50	57494	50	57494																																			
3	0	57673	4	57141	5	57329	5	57329	5.5	57375																																	
3	0	57673	8	57141	10	57329	10	57329																																			
3	1	57673	4	57141	3.5	57227	3.5	57227	3	57329	2.5	57375	2.25	57544	2	57598																											
3	0	57673	25	57141	33	57329	33	57329																																			
4	1	59424	4	58776	3.5	59038	3.5	59038	3	59138	2.75	59272	2.5	59291																													
4	0	59424	3	58776	3.5	58921	3.5	58921	3	59272	3.333333333	59415																															
4	0	59424	3.5	58776	3	58921	3	58921	3.333333333	59273	3	59291																															
4	0	59424	25	58776	33	58921	33	58921																																			
4	0	59424	8	58776	8	59752																																					
4	0	59424	4	58776	5	59038	5	59038																																			
4	0	59424	16	58776	20	58921	20	58921																																			
4	0	59424	20	58776	25	58921	25	58921																																			
4	0	59424	12	58776	14	58921	14	58921																																			
5	0	67283	20	66471	25	66676	25	66676	33	66840																																	
5	0	67283	8	66471	10	66676	10	66676																																			
5	0	67283	2.25	66471	2.5	66613	2.5	66613	3	66676	3.5	66730	4	66840	4.5	66939	5	67034																									
5	0	67283	5	66471	6	66676	6	66676	7	66840	8	66939	9	67145	8	67269																											
5	0	67283	10	66471	12	66613	12	66613	14	66676	16	66730	20	67145																													
5	0	67283	6	66471	5	66613	5	66613	6	66730	7	66840	8	66939	9	67269																											
5	1	67283	0.909090909	66471	0.8	66676	0.8	66676	0.727272727	66730	0.666666667	66840	0.571428571	66939	0.615384615	67145																											
6	0	69075	20	68112	25	68800	25	68800																																			
6	0	69075	2.25	68112	2.5	68297	2.5	68297	2.75	68512	3	68595	2.75	68891	2.5	68967																											
6	0	69075	33	68113	40	68512	40	68512	50	68800																																	
6	0	69075	8	68112	10	68297	10	68297																																			
6	1	69075	8	68112	10	68297	10	68297																																			
6	0	69075	3	68112	3.5	68826	3.5	68826																																			
6	0	69075	2.25	68112	2.5	68297	2.5	68297	2.75	68512	3	68595	3.333333333	68967	3.5	69029																											
6	0	69075	5	68112	5.5	69055	5.5	69055																																			
7	1	70828	0.444444444	69999	0.4	70497	0.4	70497	0.363636364	70603	0.4	70716	0.4	71028																													
7	0	70828	7	69999	8	70403	8	70403	9	70603	8	70716	8	71028																													
7	0	70828	6	69999	7	70189	7	70189	8	70359	9	70497	10	70603	10	71028																											
7	0	70828	6	69999	7	70189	7	70189	6	70359	5	70403	5.5	70603	5.5	71028																											
8	0	72670	5	71547	5.5	72352	5.5	72352	6	72572																																	
8	0	72670	10	71547	12	72166	12	72166																																			
8	0	72670	4	71547	4.5	71883	4.5	71883	5	72166	5.5	72352	6	72572																													
8	0	72670	7	71547	6	72352	6	72352																																			
8	1	72670	8	71547	10	71883	10	71883																																			
8	0	72670	10	71547	10	73083																																					
8	0	72670	12	71547	14	71883	14	71883	16	72166	14	72572																															
8	0	72670	8	71547	7	72572	7	72572																																			
8	0	72670	5	71547	5.5	71883	5.5	71883	6	72572																																	
8	0	72670	5	71547	5.5	71883	5.5	71883	6	72572																																	
9	0	74508	20	73589	33	73856	33	73856																																			
9	0	74508	16	73589	20	73856	20	73856																																			
9	0	74508	10	73588	10	74825																																					
9	0	74508	20	73589	25	73856	25	73856																																			
9	1	74508	3.5	73588	3.5	74825																																					
9	0	74508	10	73589	12	73856	12	73856																																			
9	0	74508	8	73588	10	74083	10	74083																																			
9	0	74508	12	73589	14	73856	14	73856	16	74083																																	
9	0	74508	25	73589	33	74219	33	74219	25	74483																																	
9	0	74508	6	73588	6.5	74083	6.5	74083																																			
9	0	74508	12	73589	14	74219	14	74219																																			
9	0	74508	7	73588	6.5	74444	6.5	74444																																			
9	0	74508	6	73588	6.5	74083	6.5	74083	7	74219																																	
9	0	74508	16	73589	20	73856	20	73856																																			
